player_id,player_name,player_role,birth,height,foot,value,league,value_at,nat1,nat2
94308,Marko Dmitrovic,Goalkeeper,1992-01-24,1.94,left,3.6,SPA1,2018-06-30,Serbia,-
139336,Paulo Oliveira,Centre-Back,1992-01-08,1.87,right,2.7,SPA1,2018-06-30,Portugal,-
87469,JosÃ© Ãngel,Left-Back,1989-09-05,1.82,left,2.25,SPA1,2018-06-30,Spain,-
266795,Gonzalo Escalante,Central Midfield,1993-03-27,1.82,right,2.25,SPA1,2018-06-30,Argentina,Italy
153427,BebÃ©,Left Winger,1990-07-12,1.9,right,0.9,SPA1,2018-06-30,Portugal,CapeVerde
60890,FabiÃ¡n Orellana,Right Winger,1986-01-27,1.71,right,1.8,SPA1,2018-06-30,Chile,-
142027,Pablo HervÃ­as,Right Winger,1993-03-08,1.74,right,0.72,SPA1,2018-06-30,Spain,-
71548,Anaitz Arbilla,Centre-Back,1987-05-15,1.78,right,1.8,SPA1,2018-06-30,Spain,-
311287,JosÃ© Antonio MartÃ­nez,Centre-Back,1993-02-12,1.91,left,0.45,SPA1,2018-06-30,Spain,-
263727,Joan JordÃ¡n,Central Midfield,1994-07-06,1.85,right,3.6,SPA1,2018-06-30,Spain,-
138935,Sergio Ãlvarez,Central Midfield,1992-01-23,1.83,right,2.25,SPA1,2018-06-30,Spain,-
75446,Pablo de Blasis,Left Winger,1988-02-04,1.65,right,2.7,SPA1,2018-06-30,Argentina,-
154059,Charles,Centre-Forward,1984-04-04,1.79,right,1.35,SPA1,2018-06-30,Brazil,Portugal
305956,Nano,Centre-Forward,1995-02-05,1.78,right,0.54,SPA1,2018-06-30,Spain,-
128488,Alejandro GÃ¡lvez,Centre-Back,1989-06-06,1.9,right,3.15,SPA1,2016-06-30,Spain,-
286849,Jordi Calavera,Right-Back,1995-08-02,1.82,right,0.27,SPA1,2016-06-30,Spain,-
93936,Kike,Centre-Forward,1989-11-25,1.86,right,1.8,SPA1,2016-06-30,Spain,-
305956,Nano,Centre-Forward,1995-02-05,1.78,right,0.27,SPA1,2016-06-30,Spain,-
71548,Anaitz Arbilla,Centre-Back,1987-05-15,1.78,right,1.8,SPA1,2016-06-30,Spain,-
127108,Florian Lejeune,Centre-Back,1991-05-20,1.9,right,0.72,SPA1,2016-06-30,France,-
238868,RubÃ©n PeÃ±a,Right-Back,1991-07-18,1.7,right,0.36,SPA1,2016-06-30,Spain,-
266795,Gonzalo Escalante,Central Midfield,1993-03-27,1.82,right,2.7,SPA1,2016-06-30,Argentina,Italy
374077,Christian Rivera,Central Midfield,1997-07-09,1.91,right,0.27,SPA1,2016-06-30,Spain,-
153427,BebÃ©,Left Winger,1990-07-12,1.9,right,1.8,SPA1,2016-06-30,Portugal,CapeVerde
58115,Yoel RodrÃ­guez,Goalkeeper,1988-08-28,1.84,right,2.25,SPA1,2017-06-30,Spain,-
94308,Marko Dmitrovic,Goalkeeper,1992-01-24,1.94,left,0.9,SPA1,2017-06-30,Serbia,-
139336,Paulo Oliveira,Centre-Back,1992-01-08,1.87,right,3.6,SPA1,2017-06-30,Portugal,-
87469,JosÃ© Ãngel,Left-Back,1989-09-05,1.82,left,1.35,SPA1,2017-06-30,Spain,-
238868,RubÃ©n PeÃ±a,Right-Back,1991-07-18,1.7,right,1.35,SPA1,2017-06-30,Spain,-
266795,Gonzalo Escalante,Central Midfield,1993-03-27,1.82,right,4.5,SPA1,2017-06-30,Argentina,Italy
263727,Joan JordÃ¡n,Central Midfield,1994-07-06,1.85,right,0.9,SPA1,2017-06-30,Spain,-
153427,BebÃ©,Left Winger,1990-07-12,1.9,right,2.25,SPA1,2017-06-30,Portugal,CapeVerde
281755,IvÃ¡n Alejo,Right Winger,1995-02-10,1.86,right,0.27,SPA1,2017-06-30,Spain,-
93936,Kike,Centre-Forward,1989-11-25,1.86,right,2.7,SPA1,2017-06-30,Spain,-
128488,Alejandro GÃ¡lvez,Centre-Back,1989-06-06,1.9,right,2.25,SPA1,2017-06-30,Spain,-
71548,Anaitz Arbilla,Centre-Back,1987-05-15,1.78,right,1.35,SPA1,2017-06-30,Spain,-
39907,Pape Diop,Defensive Midfield,1986-03-19,1.8,right,1.35,SPA1,2017-06-30,Senegal,France
374077,Christian Rivera,Central Midfield,1997-07-09,1.91,right,0.9,SPA1,2017-06-30,Spain,-
154059,Charles,Centre-Forward,1984-04-04,1.79,right,1.35,SPA1,2017-06-30,Brazil,Portugal
266795,Gonzalo Escalante,Central Midfield,1993-03-27,1.82,right,0.225,SPA1,2015-06-30,Argentina,Italy
93936,Kike,Centre-Forward,1989-11-25,1.86,right,2.7,SPA1,2015-06-30,Spain,-
8176,Oier OlazÃ¡bal,Goalkeeper,1989-09-14,1.89,left,1.35,SPA1,2018-06-30,Spain,-
240360,Esteban Saveljich,Centre-Back,1991-05-20,1.87,right,0.54,SPA1,2018-06-30,Montenegro,Argentina
126516,Antonio Luna,Left-Back,1991-03-17,1.78,left,1.8,SPA1,2018-06-30,Spain,-
71905,Coke,Right-Back,1987-04-26,1.76,right,1.8,SPA1,2018-06-30,Spain,-
151470,Nikola Vukcevic,Defensive Midfield,1991-12-13,1.87,right,4.5,SPA1,2018-06-30,Montenegro,-
245014,Enis Bardhi,Central Midfield,1995-07-02,1.72,right,5.4,SPA1,2018-06-30,NorthMacedonia,-
125783,Sanjin Prcic,Central Midfield,1993-11-20,1.82,right,2.25,SPA1,2018-06-30,BosniaHerzegovina,France
67548,RubÃ©n Rochina,Attacking Midfield,1991-03-23,1.82,left,1.35,SPA1,2018-06-30,Spain,-
274862,Moses Simon,Left Winger,1995-07-12,1.68,both,5.4,SPA1,2018-06-30,Nigeria,-
254290,Raphael Dwamena,Centre-Forward,1995-09-12,1.86,left,2.25,SPA1,2018-06-30,Ghana,-
212391,Roger MartÃ­,Centre-Forward,1991-01-03,1.79,right,1.8,SPA1,2018-06-30,Spain,-
118997,Aitor FernÃ¡ndez,Goalkeeper,1991-05-03,1.82,right,0.72,SPA1,2018-06-30,Spain,-
248330,Chema,Centre-Back,1992-03-03,1.89,left,1.8,SPA1,2018-06-30,Spain,-
302991,Erick Cabaco,Centre-Back,1995-04-19,1.86,right,1.35,SPA1,2018-06-30,Uruguay,Italy
203778,IvÃ¡n LÃ³pez,Right-Back,1993-08-23,1.75,right,0.54,SPA1,2018-06-30,Spain,-
129679,Cheick DoukourÃ©,Defensive Midfield,1992-09-11,1.8,right,1.35,SPA1,2018-06-30,Coted'Ivoire,France
120095,JosÃ© CampaÃ±a,Central Midfield,1993-05-31,1.79,right,4.5,SPA1,2018-06-30,Spain,-
282371,Ivi,Right Winger,1994-06-29,1.74,right,1.8,SPA1,2018-06-30,Spain,-
208890,Samu GarcÃ­a,Right Winger,1990-07-13,1.77,right,0.9,SPA1,2018-06-30,Spain,-
252677,JosÃ© Luis Morales,Centre-Forward,1987-07-23,1.8,right,4.5,SPA1,2018-06-30,Spain,-
332612,Emmanuel Boateng,Centre-Forward,1996-05-23,1.75,right,1.8,SPA1,2018-06-30,Ghana,-
140082,Armando Sadiku,Centre-Forward,1991-05-27,1.85,right,0.72,SPA1,2018-06-30,Albania,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,1.8,SPA1,2011-06-30,Spain,-
